REF	TIMESTAMP	EVENT_TYPE	SOURCE	PATH	SHA256	PREVIOUS_REF
GSOS-TL-0045	2026-08-04 18:37:41	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/executive/start.sh	fbeb932abc3c2ec8270488c8c61686f9d55bb43736c37941b954c29032665671	-
GSOS-TL-0046	2026-08-04 18:39:56	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/kernel/system.state	3dfa3fb239f56c778a1e9b33eb31328349edd155a95806dac4378904e88527e5	-
GSOS-TL-0047	2026-08-04 18:39:57	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/reports/GSOS-SECURITY-REPORT.md	f3d886fa48ffa11ff8e294611c8a72935d053fb1da5a21c6aeb1cc666749b0a2	-
GSOS-TL-0048	2026-08-04 18:39:58	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/reports/GSOS-AUDIT-REPORT.md	9c939e822de5f7c6630ed2be18228c41cca71591ce05bffe5d7cc1d9fc07cd14	-
GSOS-TL-0049	2026-08-04 18:51:58	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/executive/session.sh	fef84a8f3e232daed2b76be9af6ae068e2b84fbf30aa3e0511c0fbc99e4d819c	-
GSOS-TL-0050	2026-08-04 18:53:54	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/executive/logs/session-20260804-185354.log	81edbcea1f2ed4237efcfb2416e454b0cf323e714f9901636c24a39260a2f5e1	-
GSOS-TL-0051	2026-08-04 20:26:18	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/executive/status.sh	eb84479db94ae92494343ce07b46dd72e5ff3dbd2c56383a84dfd5617aaf3afd	-
GSOS-TL-0052	2026-08-04 20:35:24	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/executive/status.state	5ed91d72d9f19ca1201d731e04fc8ab6e5d06c9d6a7318ea35332c0951b87d38	-
GSOS-TL-0053	2026-08-05 00:05:56	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/config/runtime.conf	88a5de910867fffb35bd04ded1e690cf0ca2e3fb641e44471e44d6cd6354014f	-
GSOS-TL-0054	2026-08-05 00:25:51	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/state/manager.sh	3a59bc7118efeb00e02e31438e3e42ee75d3f567f41008bab40d6ca3bf2d4465	-
GSOS-TL-0055	2026-08-05 05:28:32	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/validate/runtime-validator.sh	4b606b681c79d3b8659fab03a581e9995c0d9aed5a3ba4b4ef8461556b9beae9	-
GSOS-TL-0056	2026-08-05 05:46:43	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/validate/config-validator.sh	40050c6308faa1e23899ba705c20c06087b90f380ba9a3c1aa8666bd8be6b42c	-
GSOS-TL-0057	2026-08-05 05:53:01	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/validate/runtime-health.sh	ef095d125b0293eee23570f6e05469ab922ae4cef32378a14c4f1c1cbbc8f5d2	-
GSOS-TL-0058	2026-08-05 05:57:52	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/logger.sh	2ecd62cee3f1ead3787138e24a23f6500a685596ff725317431c698c547b2c06	-
GSOS-TL-0059	2026-08-05 05:58:34	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0060	2026-08-05 05:59:06	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0061	2026-08-05 06:00:25	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0062	2026-08-05 06:09:25	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/runtime-controller.sh	a4fe9d460073744e23ef0290e346a0db63090108e90b9d93a07333ab781a5d2d	-
GSOS-TL-0063	2026-08-05 06:10:27	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0064	2026-08-05 06:10:27	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/logs/runtime-health.log	e55cf3c8d8d8a98647d28de2f5f74f58f88c7f950514037254664783c1c4ac7c	-
GSOS-TL-0065	2026-08-05 13:31:49	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/lifecycle/lifecycle.sh	ca92745ebad00ce9075c933617250f68d7f242820e16b512c92476fea7c03447	-
GSOS-TL-0066	2026-08-05 13:32:48	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0067	2026-08-05 13:32:49	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0068	2026-08-05 13:32:49	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0069	2026-08-05 13:32:50	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0070	2026-08-05 13:32:50	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0071	2026-08-05 14:40:58	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/recovery/recovery.sh	64866d113fd47d259bbf8bbc47bd3f9ca3882ecc40671d3aff0505868f6152e2	-
GSOS-TL-0072	2026-08-05 14:41:47	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0073	2026-08-05 14:41:47	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0074	2026-08-05 14:41:47	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0075	2026-08-05 21:57:04	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
